Number of timesteps,Number of blocks,Number of robots,Simulation time
40593,635,2,01:09:51
Number of timesteps,Number of blocks,Number of robots,Simulation time
1868,104,2,00:01:49
Number of timesteps,Number of blocks,Number of robots,Simulation time
8493,359,1,00:08:53
Number of timesteps,Number of blocks,Number of robots,Simulation time
58,0,0,00:00:15
Number of timesteps,Number of blocks,Number of robots,Simulation time
84,0,0,00:00:19
Number of timesteps,Number of blocks,Number of robots,Simulation time
8913,312,1,00:09:41
